module	AZC3J_1	AZC3J_2	AZC3J_3	AZC3J_4	AZC3J_5	AZC3J_6	AZC3J_7	AZC3J_8	AZC3J_9	AZC3J_10	AZC3J_11	AZC3J_12	AZC3J_13	AZC3J_14	AZC3J_15	AZC3J_16	AZC3J_17	AZC3J_18	AZC3J_19	AZC3J_20	AZC3J_21	AZC3J_22	AZC3J_23	AZC3J_24	AZC3J_25	AZC3J_26	AZC3J_27	AZC3J_28	AZC3J_29	AZC3J_30	AZC3J_31	AZC3J_32	AZC3J_33	AZC3J_34	AZC3J_35	AZC3J_36	AZC3J_37	AZC3J_38	AZC3J_39	AZC3J_40	AZC3J_41	AZC3J_42	AZC3J_43	AZC3J_44	AZC3J_45	AZC3J_46	AZC3J_47	AZC3J_48	AZC3J_49	AZC3J_50	AZC3J_51	AZC3J_52	AZC3J_53	AZC3J_54	AZC3J_55	AZC3J_56	AZC3J_57	AZC3J_58	AZC3J_59	AZC3J_60	AZC3J_61	AZC3J_62	AZC3J_63	AZC3J_64	AZC3J_65	AZC3J_66	AZC3J_67	AZC3J_68	AZC3J_69	AZC3J_70	AZC3J_71	AZC3J_72	AZC3J_73	AZC3J_74	AZC3J_75	AZC3J_76	AZC3J_77	AZC3J_78	AZC3J_79	AZC3J_80	AZC3J_81	AZC3J_82	AZC3J_83	AZC3J_84	AZC3J_85	AZC3J_86	AZC3J_87	AZC3J_88	AZC3J_89	AZC3J_90	AZC3J_91	AZC3J_92	AZC3J_93	AZC3J_94	AZC3J_95	AZC3J_96	AZC3J_97	AZC3J_98	AZC3J_99	AZC7E_1	AZC7E_2	AZC7E_3	AZC7E_4	AZC7E_5	AZC7E_6	AZC7E_7	AZC7E_8	AZC7E_9	AZC7E_10	AZC7E_11	AZC7E_12	AZC7E_13	AZC7E_14	AZC7E_15	AZC7E_16	AZC7E_17	AZC7E_18	AZC7E_19	AZC7E_20	AZC7E_21	AZC7E_22	AZC7E_23	AZC7E_24	AZC7E_25	AZC7E_26	AZC7E_27	AZC7E_28	AZC7E_29	AZC7E_30	AZC7E_31	AZC7E_32	AZC7E_33	AZC7E_34	AZC7E_35	AZC7E_36	AZC7E_37	AZC7E_38	AZC7E_39	AZC7E_40	AZC7E_41	AZC7E_42	AZC7E_43	AZC7E_44	AZC7E_45	AZC7E_46	AZC7E_47	AZC7E_48	AZC7E_49	AZC7E_50	AZC7E_51	AZC7E_52	AZC7E_53	AZC7E_54	AZC7E_55	AZC7E_56	AZC7E_57	AZC7E_58	AZC7E_59	AZC7E_60	AZC7E_61	AZC7E_62	AZC7E_63	AZC7E_64	AZC7E_65	AZC7E_66	AZC7E_67	AZC7E_68	AZC7E_69	AZC7E_70	AZC7E_71	AZC7E_72	AZC7E_73	AZC7E_74	AZC7E_75	AZC7E_76	AZC7E_77	AZC7E_78	AZC7E_79	AZC7E_80	AZC7E_81	AZC7E_82	AZC7E_83	AZC7E_84	AZC7E_85	AZC7E_86	AZC7E_87	AZC7E_88	AZC7E_89	AZC7E_90	AZC7E_91	AZC7E_92	AZC7E_93	AZC7E_94	AZC7E_95	AZC7E_96	AZC7E_97	AZC7E_98	AZC7E_99	AZC7E_100	AZC7E_101	AZC7E_102	AZC7E_103	AZC7E_104	AZC7E_105	AZC7E_106	AZC7E_107	AZC7E_108	AZC7E_109	AZC7E_110	AZC7E_111	AZC7E_112	AZC7E_113	AZC7E_114	AZC7E_115	AZC7E_116	AZC7E_117	AZC7E_118
M00035	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
M00048	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0
M00049	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
M00050	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0
M00051	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0
M00052	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0
M00053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
M00061	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0
M00063	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0
M00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00082	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
M00083	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0
M00086	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0
M00091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M00093	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0
M00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00096	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0
M00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00115	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0
M00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00119	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0
M00120	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0
M00121	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00122	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
